step,n_measurements,n_landmarks,pose_error_m,heading_error_rad,pose_uncertainty,nees_pose,avg_landmark_error_m,max_landmark_error_m,avg_landmark_uncertainty,max_landmark_uncertainty
298,7,15,0.278547,0.010981,0.41771,1.097087,0.317969,0.412309,0.151271,0.26202
299,7,15,0.334693,0.025451,0.41775,1.500335,0.322736,0.418315,0.151157,0.261821
300,5,15,0.387568,0.072087,0.419145,1.573393,0.322435,0.417681,0.151075,0.261603
301,6,15,0.406895,0.01149,0.421195,1.41805,0.317332,0.413152,0.151004,0.261452
302,7,15,0.343292,0.032671,0.420657,1.492737,0.320051,0.415617,0.150876,0.26125
303,10,15,0.32629,0.057427,0.4141,0.973267,0.317703,0.417632,0.150735,0.261028
304,10,15,0.239877,0.005482,0.41188,0.659243,0.306547,0.406422,0.150617,0.260872
305,10,15,0.293612,0.006474,0.411137,1.834458,0.306344,0.423954,0.150479,0.260694
306,11,15,0.411003,0.057003,0.408084,3.687881,0.308621,0.425916,0.150335,0.260501
307,11,15,0.286558,0.040653,0.406689,1.386271,0.306846,0.428121,0.150188,0.26028
308,10,15,0.257105,0.040798,0.408742,1.284227,0.304237,0.425388,0.150085,0.260136
309,10,15,0.217109,0.001657,0.409046,0.540648,0.305953,0.441846,0.149984,0.259971
310,12,15,0.319181,0.025729,0.404935,1.441036,0.313959,0.437816,0.149794,0.259751
311,12,15,0.330093,0.020121,0.404106,1.877661,0.324716,0.461123,0.149642,0.259571
312,12,15,0.337298,0.041123,0.404246,1.853642,0.334891,0.483629,0.149475,0.259337
313,12,15,0.225821,0.057896,0.403593,0.714976,0.335786,0.471278,0.149311,0.259111
314,12,15,0.303609,0.023493,0.40442,2.16448,0.322881,0.442881,0.149123,0.258834
315,12,15,0.176112,0.011341,0.405453,0.469535,0.316562,0.413046,0.148968,0.258585
316,12,15,0.276913,0.015773,0.405275,1.389826,0.324737,0.426386,0.14884,0.258408
317,12,15,0.248985,0.03172,0.405399,1.481308,0.327175,0.434976,0.148701,0.258199
318,13,15,0.281064,0.0188,0.402425,1.941749,0.330086,0.450967,0.148523,0.257924
319,12,15,0.200077,0.004314,0.404292,0.980947,0.327988,0.450655,0.148398,0.257725
320,12,15,0.305382,0.022185,0.404637,2.03286,0.335387,0.457205,0.148278,0.257563
321,12,15,0.465767,0.014188,0.404969,5.396332,0.328105,0.444662,0.148171,0.257409
322,12,15,0.415333,0.016747,0.404877,4.31041,0.332877,0.460297,0.148067,0.257267
323,12,15,0.427179,0.026264,0.404086,4.43892,0.32861,0.444853,0.147973,0.25711
324,12,15,0.287602,0.011187,0.402266,1.894277,0.324889,0.437361,0.147872,0.256938
325,12,15,0.382223,0.010673,0.400794,3.704807,0.328857,0.446778,0.147756,0.256768
326,13,15,0.204576,0.018461,0.395422,1.068356,0.311337,0.421636,0.147512,0.256296
327,13,15,0.25954,0.058799,0.392284,1.556167,0.321209,0.440422,0.147311,0.255939
328,12,15,0.204395,0.00392,0.395462,0.879468,0.32537,0.430712,0.147202,0.255753
329,13,15,0.458937,0.008987,0.393174,5.22434,0.32189,0.421882,0.147038,0.255472
330,12,15,0.455907,0.039496,0.395885,5.046786,0.32086,0.430754,0.146942,0.255303
331,12,15,0.355115,0.046998,0.396307,2.848171,0.32469,0.427763,0.146867,0.255175
332,12,15,0.431539,0.03002,0.395342,3.243892,0.324894,0.428931,0.146789,0.255045
333,12,15,0.365891,0.000526,0.393536,2.532159,0.316803,0.41972,0.146697,0.254877
334,11,15,0.419654,0.047243,0.394323,2.862951,0.321523,0.415419,0.146616,0.254726
335,11,15,0.386773,0.007366,0.393704,3.113069,0.317835,0.417567,0.146531,0.254581
336,11,15,0.436329,0.034124,0.393229,4.039429,0.321018,0.424625,0.146449,0.254442
337,11,15,0.317849,0.023395,0.392795,1.15449,0.320438,0.433024,0.146369,0.254317
338,10,15,0.311225,0.019767,0.394027,0.976987,0.319032,0.431445,0.146307,0.254263
339,10,15,0.406364,0.038194,0.394431,1.844359,0.313197,0.418884,0.146221,0.254157
340,10,15,0.378673,0.09905,0.394698,1.627658,0.322323,0.430183,0.146131,0.254041
341,11,15,0.309327,0.02261,0.392386,1.080451,0.324648,0.431026,0.146069,0.253922
342,11,15,0.355599,0.057169,0.390379,1.141792,0.325687,0.428451,0.145999,0.253803
343,11,15,0.350901,0.0449,0.388968,1.700175,0.320446,0.427053,0.145942,0.253708
344,11,15,0.067163,0.026023,0.387447,0.043409,0.308848,0.421823,0.145801,0.253442
345,11,15,0.104905,0.003028,0.387698,0.10191,0.302687,0.418185,0.145672,0.253187
346,11,15,0.381439,0.017856,0.38824,1.997039,0.2955,0.410984,0.145557,0.252959
347,10,15,0.339385,0.039052,0.390879,2.517341,0.305358,0.415809,0.145449,0.252808
348,10,15,0.297386,0.024225,0.391607,2.173841,0.312385,0.417285,0.145371,0.252704
349,10,15,0.300443,0.022219,0.390578,1.123768,0.31168,0.426074,0.145292,0.252589
350,10,15,0.433008,0.093237,0.389471,2.189307,0.311233,0.42072,0.14525,0.252556
351,9,15,0.396293,0.001682,0.390068,2.6262,0.314148,0.426639,0.145204,0.252511
352,10,15,0.446087,0.025937,0.387348,3.455527,0.312408,0.424609,0.145137,0.252424
353,9,15,0.397217,0.00883,0.388078,1.928848,0.312612,0.414649,0.145102,0.252399
354,9,15,0.506184,0.00182,0.387121,3.480394,0.315907,0.425573,0.145055,0.252349
355,9,15,0.424535,0.041279,0.386345,2.811455,0.320944,0.427339,0.145013,0.25231
356,9,15,0.344911,0.032669,0.385509,2.271494,0.323807,0.438566,0.144963,0.252252
357,9,15,0.251128,0.004057,0.384779,1.366598,0.317334,0.415635,0.144883,0.252129
358,9,15,0.395608,0.02564,0.383966,3.242921,0.314138,0.416114,0.144822,0.252046
359,9,15,0.38804,0.001817,0.383216,3.483119,0.312196,0.418967,0.144784,0.252014
